Vietnam;53715200;54902680;56142180;57436350;58762040;60093070;61439830;62826490;64211350;65868480;67258110;68638270;69979720;71285150;72559540;73783390;74946550;76052860;77107500;78141670;79177980;80209480;81257960;82296590;83352450;84424930;85470540;86518850;87558360;88576760;89571130
Equatorial Guinea;256010;271780;285480;299580;314640;325190;333650;342470;351650;361190;371100;381380;392020;403040;414440;426230;438420;451030;464060;477540;491480;505920;520760;535930;551420;567230;583350;599760;616460;633440;650700
Reunion;510000;510000;520000;530000;540000;550000;560000;570000;570000;590000;600000;607000;620000;630000;640000;650000;660000;670000;680000;700000;720000;732570;743870;755170;766150;766150;766150;766150;766150;766150;766150
Kyrgyzstan;--;--;--;--;--;--;--;--;--;--;--;--;4495440;4490210;4486190;4532220;4598190;4663480;4729900;4796570;4851050;4901330;4959160;5019150;5081430;5146280;5213900;5284150;5356870;5431750;5508630
Puerto Rico;3209650;3238970;3279000;3316030;3350040;3382110;3413300;3444470;3474990;3505600;3536910;3562110;3585180;3615500;3649240;3683100;3724660;3759430;3781100;3800080;3814410;3837770;3858270;3876640;3893930;3910720;3926740;3941240;3954550;3967290;3978700
Tonga;91360;91770;92200;92630;92880;93350;93740;94000;93320;92780;92120;91260;92140;93780;94440;95200;96200;97440;98870;100510;102350;104260;106160;108170;110260;112450;114710;116940;119010;120900;122580
Greenland;50210;51030;51660;52110;52630;53150;53640;54100;54850;55410;55630;55540;55490;55640;55920;56190;56340;56510;56610;56700;56890;57130;57360;57540;57700;57780;57640;57530;57560;57600;57640
Rwanda;5139840;5308990;5483280;5663170;5833740;5986590;6161710;6372800;6597220;6816860;6999320;7143740;7298570;7596680;6505530;5472980;6546460;7647420;8041840;8222350;8398410;8610980;8857370;9098470;9361250;9611070;9857220;10141080;10440770;10746310;11055980
Dominica;73890;73520;73810;74290;73990;73110;72380;71820;71340;70510;70010;70120;70280;70420;70920;71420;71000;70280;70040;70350;70820;71210;71530;71730;71930;72120;72250;72380;72510;72660;72810
Mauritius;963700;979050;992040;1002180;1012040;1020540;1028230;1036270;1044940;1053400;1061600;1071720;1084810;1098640;1111300;1123120;1135340;1148350;1160660;1173130;1185930;1197880;1209590;1221000;1232060;1242820;1253430;1263900;1274190;1284260;1294100
Syria;8752410;9049230;9386650;9735120;10094940;10466140;10848570;11242970;11646010;12052940;12500000;12933130;13311650;13685180;14061430;14448570;14843700;15244450;15649850;16058940;16471240;16885070;17299820;17715350;18136820;18562670;19322690;20487720;21324860;21762980;22198110
Singapore;2413900;2535370;2651870;2689260;2743300;2749900;2750070;2794550;2869270;2957750;3047100;3144580;3235870;3328150;3427980;3542870;3672280;3802310;3904530;3967750;4036750;4120230;4197780;4276790;4353890;4425720;4492150;4553010;4608170;4657540;4701070
Western Sahara;124040;139090;154550;165680;172400;179330;186480;193850;201430;209260;217370;225750;234400;243300;252440;263870;277670;291840;306350;321180;336300;351690;367390;383400;399740;415400;430320;445400;460630;476010;491520
Mozambique;12102620;12363230;12587330;12772840;12922820;13062600;13143020;12894850;12523010;12482100;12666570;12934800;13180000;13691370;14781460;15764750;16298340;16759660;17220030;17676730;18124560;18559160;18979170;19383080;19772840;20154010;20530020;20905580;21284700;21669280;22061450
Saint Vincent/Grenadines;98140;99200;100480;101810;102890;103850;104760;105500;106140;106750;107390;107960;108220;108540;108690;108790;108770;108610;108400;108120;107860;107610;107260;106880;106480;106070;105690;105310;104940;104570;104220
Chad;4522390;4514940;4732880;4971160;5025170;5066040;5214200;5391520;5556340;5714910;5841410;6028220;6263270;6379100;6496690;6769690;7051000;7261710;7479320;7708740;7942680;8179410;8436190;8745740;9097660;9400660;9648960;9885660;10111340;10329210;10543460
Lesotho;1358570;1395180;1432820;1471480;1511110;1551640;1586600;1615690;1644840;1674020;1703260;1732500;1761710;1790790;1819500;1847570;1869050;1883540;1896600;1907670;1916320;1922340;1925640;1926350;1924900;1922120;1919200;1916860;1915470;1916130;1919550
Virgin Islands,  U.S.;99640;99850;100070;100350;100600;100760;100840;100900;100950;101040;103960;104810;105710;106580;107320;107820;108090;108360;108540;108600;108640;108750;108920;109150;109350;109600;109760;109820;109830;109810;109750
Estonia;--;--;--;--;--;--;--;--;--;--;--;--;1528720;1491430;1467540;1446510;1427830;1413350;1400970;1389760;1379840;1369980;1360120;1350720;1341660;1332890;1324330;1315910;1307600;1299370;1291170
Dominican Republic;5696860;5831710;5968740;6105820;6241550;6378550;6516820;6656960;6798770;6941870;7083620;7224800;7362930;7494280;7624130;7758970;7898980;8039940;8182210;8325200;8468910;8613550;8756900;8896580;9032390;9164470;9295040;9426230;9558180;9690790;9823820
France;53987660;54279950;54571200;54784010;55089250;55314770;55541800;55785740;56043520;56582720;56905100;57241720;57560040;57866410;58115960;58365580;58616020;58872500;59136740;59406020;59703560;60029900;60363200;60691600;61046810;61434960;61826130;62225770;62611580;62982960;63339640
Latvia;--;--;--;--;--;--;--;--;--;--;--;--;2615870;2565710;2523530;2488010;2460280;2435970;2413170;2393660;2376180;2358230;2340210;2322940;2306310;2290240;2274740;2259810;2245420;2231500;2217970
Timor-Leste (East Timor);--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;998550;1020050;1041810;1063840;1086170;1108780;1131610;1154630
Nepal;14665250;15010860;15375070;15756850;16155060;16569980;17002210;17452690;17922080;18410930;18918260;19448330;20033370;20641370;21246740;21876670;22502570;23109340;23700290;24269870;24818160;25335610;25815050;26275380;26708320;27093870;27458950;27827890;28196960;28563380;28951850
Bulgaria;8843530;8869440;8892100;8910280;8928270;8943570;8958770;8971960;8982030;8990060;8894030;8772370;8658510;8441870;8353340;8255810;8161030;8066060;7971770;7893230;7818500;7738420;7661800;7588400;7517970;7450350;7385370;7322860;7262680;7204690;7148790
Ghana;11011190;11170960;11394150;12150580;12832310;13228620;13781920;14173880;14574130;14982760;15407740;15848230;16292850;16805370;17301850;17704060;18085390;18473510;18887710;19314500;19751620;20196290;20661460;21137200;21600980;22062380;22524380;22980700;23434570;23887810;24339840
Slovenia;--;--;--;--;--;--;--;--;--;--;--;--;1999210;1999930;2001040;2002830;2007430;2011610;2010810;2009650;2010560;2011180;2011500;2011600;2011470;2011070;2010350;2009250;2007710;2005690;2003140
