10;AUBE;Assencières;140;26;5;0;36;29;4;0;0;0;16;1;23
10;AUBE;Aubeterre;208;21;1;3;63;49;15;3;2;2;23;8;18
10;AUBE;Aulnay;92;16;1;0;18;26;7;3;2;0;6;0;13
10;AUBE;Auxon;668;105;6;10;145;178;71;11;3;3;35;11;90
10;AUBE;Val-d'Auzon;271;36;7;1;65;92;8;1;4;1;24;2;30
10;AUBE;Avant-lès-Marcilly;339;52;10;2;58;103;27;5;8;0;14;12;48
10;AUBE;Avant-lès-Ramerupt;109;21;1;0;34;34;2;0;0;1;4;5;7
10;AUBE;Avirey-Lingey;175;32;0;2;43;69;1;1;1;0;7;5;14
10;AUBE;Avon-la-Pèze;159;28;2;4;45;35;9;0;0;0;16;3;17
10;AUBE;Avreuil;125;23;1;0;41;27;4;3;1;0;8;0;17
10;AUBE;Bagneux-la-Fosse;166;24;1;1;29;66;9;0;0;2;18;1;15
10;AUBE;Bailly-le-Franc;28;5;0;0;9;7;2;0;0;0;1;2;2
10;AUBE;Balignicourt;62;11;2;0;12;21;4;1;0;0;3;4;4
10;AUBE;Balnot-la-Grange;126;18;3;2;27;49;5;1;2;0;6;2;11
10;AUBE;Balnot-sur-Laignes;156;22;2;0;41;54;2;2;0;1;15;4;13
10;AUBE;Barberey-Saint-Sulpice;843;115;14;11;194;202;50;5;6;5;51;19;171
10;AUBE;Barbuise;325;57;7;2;75;62;30;6;2;0;18;11;55
10;AUBE;Baroville;293;42;3;3;69;89;6;8;0;0;20;7;46
10;AUBE;Bar-sur-Aube;3420;931;57;30;610;701;238;19;11;3;183;48;589
10;AUBE;Bar-sur-Seine;1926;561;21;17;301;397;154;16;11;2;95;20;331
10;AUBE;Bayel;632;117;7;5;162;124;60;11;5;2;23;20;96
10;AUBE;Bercenay-en-Othe;346;54;1;11;63;82;15;3;3;2;44;7;61
10;AUBE;Bercenay-le-Hayer;126;27;2;0;28;36;3;0;0;0;8;1;21
10;AUBE;Bergères;103;13;6;1;25;38;3;0;0;0;5;2;10
10;AUBE;Bernon;139;26;5;0;40;32;4;3;0;0;5;1;23
10;AUBE;Bertignolles;61;9;1;0;19;17;3;0;1;0;7;2;2
10;AUBE;Bérulle;221;38;0;2;54;70;10;0;0;0;14;1;32
10;AUBE;Bessy;99;15;1;0;34;26;6;1;0;0;6;0;10
10;AUBE;Bétignicourt;33;1;0;0;16;6;5;2;0;0;0;0;3
10;AUBE;Beurey;160;26;4;2;31;57;5;1;1;1;5;2;25
10;AUBE;Blaincourt-sur-Aube;84;10;2;3;19;16;5;0;1;0;12;0;16
10;AUBE;Blignicourt;42;7;0;0;15;14;0;0;0;0;3;0;3
10;AUBE;Bligny;160;32;1;3;37;53;9;1;0;0;5;2;17
10;AUBE;Les Bordes-Aumont;337;55;5;3;79;88;10;2;3;3;38;10;41
10;AUBE;Bossancourt;174;25;8;3;31;31;14;2;7;2;7;4;40
10;AUBE;Bouilly;763;90;9;11;158;172;76;8;6;3;47;9;174
10;AUBE;Boulages;180;19;4;0;50;59;7;0;3;0;16;2;20
10;AUBE;Bouranton;394;45;6;2;117;106;18;7;2;0;26;8;57
10;AUBE;Bourdenay;102;16;0;1;22;30;8;2;1;0;4;1;17
10;AUBE;Bourguignons;234;34;4;3;46;72;9;1;1;1;12;10;41
10;AUBE;Bouy-Luxembourg;160;20;4;2;35;60;2;2;1;1;17;0;16
10;AUBE;Bouy-sur-Orvin;50;9;3;0;9;13;2;1;0;1;2;2;8
10;AUBE;Bragelogne-Beauvoir;218;35;8;2;30;80;11;0;0;0;24;2;26
