ZB;MARTINIQUE;Saint-Joseph;11689;5503;469;101;339;1735;331;64;58;20;378;75;2616
ZB;MARTINIQUE;Saint-Pierre;4018;2123;114;28;102;506;103;29;20;10;113;23;847
ZB;MARTINIQUE;Sainte-Anne;4024;2277;101;48;97;363;125;25;18;7;86;16;861
ZB;MARTINIQUE;Sainte-Luce;7124;3343;227;82;157;824;256;39;28;13;223;29;1903
ZB;MARTINIQUE;Sainte-Marie;16909;8347;828;93;318;1850;244;62;82;21;353;84;4627
ZB;MARTINIQUE;Schoelcher;15721;6731;605;168;357;2525;618;98;57;43;653;113;3753
ZB;MARTINIQUE;La Trinité;9865;4162;413;90;215;1137;316;63;42;15;302;50;3060
ZB;MARTINIQUE;Les Trois-Ilets;5500;2418;150;77;175;825;272;39;25;16;231;45;1227
ZB;MARTINIQUE;LE VAUCLIN;8126;4315;297;46;142;933;154;37;27;14;159;40;1962
ZB;MARTINIQUE;Le Morne-Vert;1639;686;50;25;40;351;65;8;6;2;52;6;348
ZB;MARTINIQUE;Bellefontaine;1505;581;75;9;27;188;49;16;9;2;45;9;495
ZC;GUYANE;Régina;627;375;3;13;38;69;15;2;3;0;11;3;95
ZC;GUYANE;Cayenne;22223;11148;537;214;1181;2741;732;150;62;31;654;105;4668
ZC;GUYANE;Iracoubo;958;445;130;1;36;137;23;7;2;1;29;1;146
ZC;GUYANE;Kourou;8235;3382;202;127;638;1142;379;61;24;15;374;61;1830
ZC;GUYANE;Macouria;4508;2068;114;30;300;508;224;39;18;13;142;26;1026
ZC;GUYANE;Mana;1661;924;25;10;29;139;76;10;6;5;31;7;399
ZC;GUYANE;Matoury;9655;4385;287;87;539;1193;388;68;30;26;319;64;2269
ZC;GUYANE;Saint-Georges;1181;594;17;16;45;156;13;1;7;3;16;12;301
ZC;GUYANE;Remire-Montjoly;10050;4186;209;176;579;1500;541;79;24;30;465;68;2193
ZC;GUYANE;Roura;1499;572;36;24;95;282;83;10;4;3;51;7;332
ZC;GUYANE;Saint-Laurent-du-Maroni;7695;4071;104;72;214;1333;307;26;16;7;126;26;1393
ZC;GUYANE;Sinnamary;1844;1137;41;7;85;144;36;7;6;1;27;6;347
ZC;GUYANE;Montsinéry-Tonnegrande;1040;577;12;21;68;121;54;4;2;1;25;11;144
ZC;GUYANE;Ouanary;59;41;0;0;2;2;0;1;0;0;2;0;11
ZC;GUYANE;Saül;128;83;3;4;7;7;3;1;0;0;2;0;18
ZC;GUYANE;Maripasoula;1500;1044;21;11;15;114;22;3;1;5;20;7;237
ZC;GUYANE;Camopi;790;371;3;11;21;248;8;2;2;5;10;7;102
ZC;GUYANE;Grand-Santi;584;443;2;4;5;53;7;0;1;0;3;2;64
ZC;GUYANE;Saint-Elie;38;28;1;0;2;0;0;0;0;0;0;0;7
ZC;GUYANE;Apatou;1108;766;4;9;7;91;15;7;0;1;7;0;201
ZC;GUYANE;Awala-Yalimapo;528;281;2;5;14;66;20;1;0;0;9;1;129
ZC;GUYANE;Papaichton;963;785;3;1;0;128;6;0;0;1;6;2;31
ZD;LA REUNION;Les Avirons;7804;2103;180;143;534;961;455;59;21;12;571;58;2707
ZD;LA REUNION;Bras-Panon;8840;3220;203;74;544;971;357;42;38;9;351;55;2976
ZD;LA REUNION;Entre-Deux;5014;1428;119;80;380;475;252;38;18;9;387;50;1778
ZD;LA REUNION;L'Etang-Salé;10505;2515;354;212;784;1601;679;64;35;17;566;98;3580
ZD;LA REUNION;Petite-Ile;9568;3003;242;125;722;1054;453;50;47;19;392;57;3404
ZD;LA REUNION;La Plaine-des-Palmistes;3877;1253;106;48;350;549;171;23;14;5;159;30;1169
ZD;LA REUNION;Le Port;23512;8182;729;248;1249;1705;1321;149;108;47;571;137;9066
ZD;LA REUNION;La Possession;19146;5862;458;306;1252;2193;1140;123;72;43;826;154;6717
ZD;LA REUNION;Saint-André;32261;12918;759;299;2278;3038;1258;162;112;42;1016;150;10229
ZD;LA REUNION;Saint-Benoît;25568;9683;587;204;1580;2144;856;123;147;50;618;117;9459
ZD;LA REUNION;Saint-Denis;92985;31891;2013;1307;6160;12625;3698;461;327;188;4833;581;28901
ZD;LA REUNION;Saint-Joseph;27381;6319;716;315;2140;2536;1009;154;95;54;711;152;13180
ZD;LA REUNION;Saint-Leu;22993;7297;592;413;1155;2053;1165;133;71;40;2316;127;7631
ZD;LA REUNION;Saint-Louis;37895;15805;958;306;2931;3291;1226;152;95;49;1083;205;11794
ZD;LA REUNION;Saint-Paul;73179;25970;2219;1291;3684;8516;3309;420;266;143;3841;497;23023
ZD;LA REUNION;Saint-Pierre;57859;19815;1729;904;3310;8325;2574;358;230;145;1978;347;18144
ZD;LA REUNION;Saint-Philippe;4479;1659;119;26;313;382;113;17;11;5;80;18;1736
ZD;LA REUNION;Sainte-Marie;21311;7723;465;266;1492;2520;762;123;75;30;791;117;6947
ZD;LA REUNION;Sainte-Rose;5845;2302;115;42;341;469;192;28;26;6;129;32;2163
ZD;LA REUNION;Sainte-Suzanne;16302;6575;322;168;1031;1295;688;73;64;28;517;75;5466
ZD;LA REUNION;Salazie;5653;1991;119;46;335;575;128;23;44;13;140;29;2210
ZD;LA REUNION;Le Tampon;55976;17188;1960;809;4487;7087;2329;355;233;105;2542;486;18395
ZD;LA REUNION;Les Trois-Bassins;5594;2179;141;55;276;520;196;24;26;3;287;37;1850
ZD;LA REUNION;Cilaos;4862;2140;98;50;221;492;172;16;15;4;148;22;1484
ZM;MAYOTTE;ACOUA;2399;1010;124;37;41;504;22;12;15;12;59;26;537
ZM;MAYOTTE;BANDRABOUA;3854;2032;74;26;27;765;29;10;10;9;48;22;802
ZM;MAYOTTE;BANDRELE;3624;1653;65;26;32;1235;38;9;12;9;108;19;418
ZM;MAYOTTE;BOUÉNI;3738;1851;125;20;30;1185;32;10;4;1;53;10;417
ZM;MAYOTTE;CHICONI;4081;1665;152;68;52;1456;42;24;21;10;89;38;464
ZM;MAYOTTE;CHIRONGUI;3910;1835;88;39;16;1099;37;11;5;8;38;16;718
ZM;MAYOTTE;DEMBENI;2798;1210;74;30;40;656;45;21;7;9;44;11;651
ZM;MAYOTTE;DZAOUDZI;5962;3503;129;46;110;713;62;25;17;19;159;30;1149
ZM;MAYOTTE;KANI-KÉLI;3698;1824;90;31;39;1196;22;14;4;8;39;24;407
ZM;MAYOTTE;KOUNGOU;5063;2666;86;63;114;882;79;21;14;13;136;38;951
ZM;MAYOTTE;MAMOUDZOU;13586;7509;283;168;168;2257;233;52;29;32;343;65;2447
ZM;MAYOTTE;MTSAMBORO;5083;2795;71;24;79;1293;40;19;12;4;72;16;658
ZM;MAYOTTE;M'TSANGAMOUJI;4172;2422;95;84;39;667;46;21;17;7;52;34;688
ZM;MAYOTTE;OUANGANI;3366;1900;61;23;17;755;31;4;3;4;44;10;514
ZM;MAYOTTE;PAMANDZI;3753;1820;81;40;102;743;80;12;7;8;121;11;728
ZM;MAYOTTE;SADA;4938;2424;58;25;25;1256;56;22;6;13;51;13;989
ZM;MAYOTTE;TSINGONI;3388;1612;43;39;65;874;50;12;9;9;49;12;614
ZN;NOUVELLE CALEDONIE;Belep;832;514;3;4;3;10;0;0;0;1;11;0;286
ZN;NOUVELLE CALEDONIE;Boulouparis;2348;865;29;23;283;861;31;13;3;4;43;8;185
ZN;NOUVELLE CALEDONIE;Bourail;3753;1499;65;50;371;1191;96;21;11;4;116;21;308
ZN;NOUVELLE CALEDONIE;Canala;3025;2017;38;32;19;140;32;24;14;3;35;9;662
ZN;NOUVELLE CALEDONIE;Dumbéa;13336;4706;263;186;1168;5051;240;80;46;30;397;71;1098
ZN;NOUVELLE CALEDONIE;Farino;497;109;16;3;97;204;5;2;2;1;20;6;32
ZN;NOUVELLE CALEDONIE;Hienghène;2054;1007;10;11;6;63;15;6;2;5;25;7;897
ZN;NOUVELLE CALEDONIE;Houailou;3188;1932;50;33;52;242;28;19;13;3;53;7;756
ZN;NOUVELLE CALEDONIE;Ile des Pins;1499;785;14;22;20;303;11;5;9;0;33;3;294
ZN;NOUVELLE CALEDONIE;Kaala-Gomen;1373;946;7;1;19;134;3;5;2;0;7;3;246
ZN;NOUVELLE CALEDONIE;Koné;3482;1664;33;50;121;518;66;16;12;2;54;14;932
ZN;NOUVELLE CALEDONIE;Koumac;2454;1034;43;30;216;759;46;16;8;7;54;17;224
ZN;NOUVELLE CALEDONIE;La Foa;2800;893;68;50;363;832;49;24;9;6;95;19;392
ZN;NOUVELLE CALEDONIE;Lifou;10233;7613;27;49;44;448;113;47;23;5;76;12;1776
ZN;NOUVELLE CALEDONIE;Maré;6246;5240;8;16;19;235;24;14;7;6;14;6;657
ZN;NOUVELLE CALEDONIE;Moindou;629;222;11;7;83;155;19;8;0;2;12;1;109
ZN;NOUVELLE CALEDONIE;Mont-Dore;16552;5878;406;281;1307;5988;316;108;57;25;518;89;1579
ZN;NOUVELLE CALEDONIE;Nouméa;54048;16986;813;1095;4831;20820;1308;281;146;111;2348;414;4895
ZN;NOUVELLE CALEDONIE;Ouégoa;1881;1096;13;5;131;181;8;7;1;8;22;3;406
ZN;NOUVELLE CALEDONIE;Ouvéa;4297;3469;19;29;23;150;21;13;6;2;16;9;540
ZN;NOUVELLE CALEDONIE;Païta;9613;3327;177;125;764;3653;176;57;40;22;293;64;915
ZN;NOUVELLE CALEDONIE;Poindimié;3811;2163;42;43;57;325;85;30;13;4;72;10;967
ZN;NOUVELLE CALEDONIE;Ponérihouen;2295;1260;32;27;23;159;39;13;9;4;37;5;687
ZN;NOUVELLE CALEDONIE;Pouébo;2056;1418;12;8;13;52;26;4;4;3;17;2;497
ZN;NOUVELLE CALEDONIE;Pouembout;1127;452;18;19;74;267;33;2;3;1;28;4;226
ZN;NOUVELLE CALEDONIE;Poum;1201;772;3;22;30;119;19;2;5;5;18;5;201
ZN;NOUVELLE CALEDONIE;Poya;2049;878;26;24;72;467;16;15;8;4;43;5;491
ZN;NOUVELLE CALEDONIE;Sarraméa;460;249;12;9;13;53;6;0;2;0;8;1;107
ZN;NOUVELLE CALEDONIE;Thio;1968;1251;38;27;41;223;15;10;13;4;31;7;308
ZN;NOUVELLE CALEDONIE;Touho;1790;1016;17;10;24;140;23;8;3;1;20;3;525
ZN;NOUVELLE CALEDONIE;Voh;1991;1079;22;22;88;259;31;9;2;4;26;2;447
ZN;NOUVELLE CALEDONIE;Yaté;1546;984;17;21;16;122;10;6;8;1;19;4;338
ZN;NOUVELLE CALEDONIE;Kouaoua;1033;515;17;2;18;178;17;9;4;1;18;2;252
ZP;POLYNESIE FRANCAISE;Anaa;562;289;12;19;6;81;2;1;3;1;4;4;140
ZP;POLYNESIE FRANCAISE;Arue;7222;3624;73;182;293;1693;105;25;16;18;273;45;875
ZP;POLYNESIE FRANCAISE;Arutua;1404;826;24;28;20;248;5;0;2;4;54;5;188
ZP;POLYNESIE FRANCAISE;Bora-Bora;6542;3813;66;132;116;1278;61;18;20;9;144;26;859
ZP;POLYNESIE FRANCAISE;Faa a;17270;9114;263;265;498;2598;215;47;52;31;412;137;3638
ZP;POLYNESIE FRANCAISE;Fakarava;1238;568;10;30;21;272;9;6;2;3;111;20;186
ZP;POLYNESIE FRANCAISE;Fangatau;264;104;0;2;16;57;1;1;0;0;10;2;71
ZP;POLYNESIE FRANCAISE;Fatu-Hiva;513;207;2;8;3;71;1;1;1;0;33;8;178
ZP;POLYNESIE FRANCAISE;Gambier;698;322;9;25;12;227;7;2;3;1;12;1;77
ZP;POLYNESIE FRANCAISE;Hao;1150;577;6;23;25;169;17;9;9;1;59;9;246
ZP;POLYNESIE FRANCAISE;Hikueru;195;81;4;0;3;45;0;0;0;0;2;2;58
ZP;POLYNESIE FRANCAISE;Hitiaa O Te Ra;6934;3780;101;95;131;1451;70;21;20;4;88;156;1017
ZP;POLYNESIE FRANCAISE;Hiva-Oa;1721;742;17;28;24;325;18;2;1;2;72;7;483
ZP;POLYNESIE FRANCAISE;Huahine;4847;2648;35;65;54;1039;52;9;10;4;59;33;839
ZP;POLYNESIE FRANCAISE;Mahina;11184;6124;111;225;387;2253;206;30;41;26;287;268;1226
ZP;POLYNESIE FRANCAISE;Makemo;1066;509;17;18;33;255;11;4;6;0;24;4;185
ZP;POLYNESIE FRANCAISE;Manihi;878;400;3;2;11;178;5;5;2;1;64;3;204
ZP;POLYNESIE FRANCAISE;Maupiti;999;393;21;12;15;323;10;3;2;1;23;5;191
ZP;POLYNESIE FRANCAISE;Moorea-Maiao;11956;7103;125;204;283;2144;173;34;26;21;220;72;1551
ZP;POLYNESIE FRANCAISE;Napuka;266;143;4;0;6;48;0;0;0;0;16;8;41
ZP;POLYNESIE FRANCAISE;Nuku-Hiva;2041;790;22;33;38;405;24;8;7;3;171;20;520
ZP;POLYNESIE FRANCAISE;Nukutavake;264;136;2;6;3;67;0;1;1;0;2;2;44
ZP;POLYNESIE FRANCAISE;Paea;8161;3570;125;163;270;2061;99;23;26;17;217;159;1431
ZP;POLYNESIE FRANCAISE;Papara;7378;4072;101;141;173;1446;84;20;32;34;125;73;1077
ZP;POLYNESIE FRANCAISE;Papeete;17946;8838;236;306;585;4181;247;40;51;39;638;211;2574
ZP;POLYNESIE FRANCAISE;Pirae;10456;4800;149;207;364;3064;201;36;29;34;321;153;1098
